timestamp,user_id,satisfaction,feedback,tasks_completed,group,survey_duration_seconds,login_time,logout_time;timestamp;user_id;group;satisfaction;feedback;tasks_completed;survey_duration_seconds;login_time;logout_time
2025-05-09T10:11:34.584093,92d7888a-8367-41a6-b0b1-ed29bbcffc63,5,all done,3,A,123.053767,2025-05-09T10:09:31.530171,2025-05-09T10:11:34.583938;;;;;;;;;
;2025-05-09T10:38:29.591198;ecdde967-605c-47d6-9910-5e6997edd4f2;B;3.0;all tasks done;3.0;98.513024;2025-05-09T10:36:51.077720;2025-05-09T10:38:29.590744
;2025-05-09T10:42:50.637082;79ea202d-56ea-475a-b74e-927398979a09;A;5.0;done;3.0;126.817036;2025-05-09T10:40:43.819990;2025-05-09T10:42:50.637026
;2025-05-09T11:28:08.168503;f8f167c0-2ebb-4f00-a5ac-0690b74a7e18;B;3.0;;3.0;83.235731;2025-05-09T11:26:44.932330;2025-05-09T11:28:08.168061
;2025-05-09T12:03:56.550473;093ef408-d239-4f20-8877-766bfb2c934e;A;3.0;;3.0;92.797609;2025-05-09T12:02:23.752479;2025-05-09T12:03:56.550088
;2025-05-09T12:06:29.468824;bcb49a47-9fee-4e99-9404-6f366488e9fb;A;3.0;;3.0;47.509488;2025-05-09T12:05:41.959020;2025-05-09T12:06:29.468508
;2025-05-09T12:41:16.411145;35e56791-6a88-4eea-aa87-98af89bfdf1a;B;3.0;;3.0;1892.007028;2025-05-09T12:09:44.403884;2025-05-09T12:41:16.410912
;2025-05-09T12:44:42.264917;9f625b62-1eda-4691-b7d9-a46db95731bf;B;3.0;;3.0;47.095937;2025-05-09T12:43:55.168590;2025-05-09T12:44:42.264527
;2025-05-09T15:46:02.023918;4b26b38d-9ffc-4032-a0d1-a905160202eb;A;3.0;;3.0;54.153067;2025-05-09T15:45:07.870573;2025-05-09T15:46:02.023640
;2025-05-09T15:47:41.497340;44d0be31-0504-413a-9c86-896c914bf9fe;B;3.0;;3.0;44.639936;2025-05-09T15:46:56.857052;2025-05-09T15:47:41.496988
