user_id;group;login_time;age;gender;training_level;specialization;patient_records_exp;clinical_notes_confidence;gen_ai_familiarity;prompt_eng_familiarity;cds_familiarity;llm_usage_frequency;trust_level
9c20c58e-db83-417c-9072-a7021068d3a7;A;2025-07-20T09:05:37.337139;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
9c20c58e-db83-417c-9072-a7021068d3a7;A;2025-07-20T09:08:03.623827;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
d9d97c2a-5f00-4985-be68-d6c39566793e;B;2025-07-20T09:08:29.812454;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
a96ae1bb-dca6-41a2-9d01-ef8b31a2f61c;A;2025-07-20T09:13:05.588204;Prefer not to say;Female;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
d06f79d0-91d9-40c0-b170-bd83cdcd0c81;B;2025-07-20T09:14:48.818935;Prefer not to say;Male;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
1de9d16f-f01f-4929-804b-4ff5bf9530a6;A;2025-07-20T09:16:19.433769;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
9848fe99-33b0-406d-ad1f-a97cc0367211;B;2025-07-20T09:19:21.171202;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
fb85aa37-8bf8-4b9c-bd9b-7e5fcc0a2044;B;2025-07-20T09:25:14.058107;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
d063f454-21ef-4470-8a44-e1a846288a51;A;2025-07-20T15:33:24.971315;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
8adf02f8-3952-43d3-a700-3b97e97ce31f;B;2025-07-23T21:15:32.982682;Prefer not to say;Male;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
4837b0cd-c3b1-46ba-afa4-84a3ccf9a088;B;2025-07-28T11:06:47.018908;Prefer not to say;Male;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
9ef54427-960a-4bd7-b76e-9b6c1ba1d3a2;A;2025-07-29T11:44:31.261510;Prefer not to say;Female;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3
