"user_id";"task_id";"group";"event_type";"action";"timestamp";"original_prompt";"modified_prompt";"highlighted_terms";"medical_term_count";"prompt_count";"message_id";"model_type";"model_name";"edit_distance";"diff_type";"action_type";"last_prompt";"term_count"
"lime_user";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-09T11:37:51.550109";"hi";"";"";0.0;"";"lime_use_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"lime_user";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-09T11:37:52.768314";"hi";"";"";0.0;"";"lime_use_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"lime_user";"";"";"VALIDATION";"ACCEPT_CLICK";"2025-07-09T11:37:52.783261";"hi";"";"";"";"";"lime_use_task0_prompt0";"";"";"";"";"ACCEPT_CLICK";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:20:13.383899";"Hi, who are you?";"";"";0.0;"";"9848fe99_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:20:18.012431";"Hi, who are you?";"";"";0.0;"";"9848fe99_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:21:51.277110";"Hi, who are you?";"";"";0.0;"";"9848fe99_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:21:54.684153";"Hi, who are you?";"";"";0.0;"";"9848fe99_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"EDIT_CLICK";"2025-07-20T09:21:54.702371";"Hi, who are you?";"";"";"";"";"9848fe99_task0_prompt0";"";"";"";"";"EDIT_CLICK";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:21:57.776944";"Hi, who are you?";"";"";0.0;"";"9848fe99_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:21:59.915536";"Hi, who are you?";"";"";0.0;"";"9848fe99_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"ACCEPT_CLICK";"2025-07-20T09:21:59.932821";"Hi, who are you?";"";"";"";"";"9848fe99_task0_prompt0";"";"";"";"";"ACCEPT_CLICK";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:23:53.499593";"Hi";"";"";0.0;"";"9848fe99_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:23:56.617217";"Hi";"";"";0.0;"";"9848fe99_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"9848fe99-33b0-406d-ad1f-a97cc0367211";"";"";"VALIDATION";"ACCEPT_CLICK";"2025-07-20T09:23:56.634142";"Hi";"";"";"";"";"9848fe99_task0_prompt0";"";"";"";"";"ACCEPT_CLICK";"";0
"fb85aa37-8bf8-4b9c-bd9b-7e5fcc0a2044";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:25:32.722834";"Hi";"";"";0.0;"";"fb85aa37_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
"fb85aa37-8bf8-4b9c-bd9b-7e5fcc0a2044";"";"";"VALIDATION";"VALIDATION_VIEW";"2025-07-20T09:25:34.729870";"Hi";"";"";0.0;"";"fb85aa37_task0_prompt0";"";"";"";"";"VALIDATION_VIEW";"";0
