timestamp,user_id,task_number,difficulty,usefulness,comments,duration;timestamp;user_id;task_number;difficulty;usefulness;comments;duration
2025-05-09T10:10:15.142978,92d7888a-8367-41a6-b0b1-ed29bbcffc63,1,5,5,first task feedback,;;;;;;;
2025-05-09T10:10:55.558498,92d7888a-8367-41a6-b0b1-ed29bbcffc63,2,3,3,second task feedback,;;;;;;;
2025-05-09T10:11:27.686112,92d7888a-8367-41a6-b0b1-ed29bbcffc63,3,3,3,3 gave thumb,;;;;;;;
;2025-05-09T10:37:33.807512;ecdde967-605c-47d6-9910-5e6997edd4f2;1.0;3.0;3.0;first;
;2025-05-09T10:37:53.428403;ecdde967-605c-47d6-9910-5e6997edd4f2;2.0;3.0;3.0;second ;
;2025-05-09T10:38:21.048208;ecdde967-605c-47d6-9910-5e6997edd4f2;3.0;3.0;3.0;third with edit;
;2025-05-09T10:41:57.743568;79ea202d-56ea-475a-b74e-927398979a09;1.0;3.0;3.0;first task;
;2025-05-09T10:42:27.939611;79ea202d-56ea-475a-b74e-927398979a09;2.0;3.0;4.0;second edit;
;2025-05-09T10:42:45.606210;79ea202d-56ea-475a-b74e-927398979a09;3.0;3.0;3.0;third done;
;2025-05-09T11:27:25.142442;f8f167c0-2ebb-4f00-a5ac-0690b74a7e18;1.0;3.0;3.0;;
;2025-05-09T11:27:49.521636;f8f167c0-2ebb-4f00-a5ac-0690b74a7e18;2.0;3.0;3.0;;
;2025-05-09T11:28:05.259957;f8f167c0-2ebb-4f00-a5ac-0690b74a7e18;3.0;3.0;3.0;;
;2025-05-09T12:03:23.162150;093ef408-d239-4f20-8877-766bfb2c934e;1.0;3.0;3.0;;
;2025-05-09T12:03:40.701603;093ef408-d239-4f20-8877-766bfb2c934e;2.0;3.0;3.0;;
;2025-05-09T12:03:54.347713;093ef408-d239-4f20-8877-766bfb2c934e;3.0;3.0;3.0;;
;2025-05-09T12:05:58.702244;bcb49a47-9fee-4e99-9404-6f366488e9fb;1.0;3.0;3.0;;
;2025-05-09T12:06:09.089542;bcb49a47-9fee-4e99-9404-6f366488e9fb;2.0;3.0;3.0;;
;2025-05-09T12:06:27.920927;bcb49a47-9fee-4e99-9404-6f366488e9fb;3.0;3.0;3.0;;
;2025-05-09T12:10:01.917652;35e56791-6a88-4eea-aa87-98af89bfdf1a;1.0;3.0;3.0;;
;2025-05-09T12:10:20.926148;35e56791-6a88-4eea-aa87-98af89bfdf1a;2.0;3.0;3.0;;
;2025-05-09T12:41:14.526091;35e56791-6a88-4eea-aa87-98af89bfdf1a;3.0;3.0;3.0;;
;2025-05-09T12:44:11.868820;9f625b62-1eda-4691-b7d9-a46db95731bf;1.0;3.0;3.0;;
;2025-05-09T12:44:23.286603;9f625b62-1eda-4691-b7d9-a46db95731bf;2.0;3.0;3.0;;
;2025-05-09T12:44:40.600947;9f625b62-1eda-4691-b7d9-a46db95731bf;3.0;3.0;3.0;;
;2025-05-09T15:45:33.538052;4b26b38d-9ffc-4032-a0d1-a905160202eb;1.0;3.0;3.0;;
;2025-05-09T15:45:45.119731;4b26b38d-9ffc-4032-a0d1-a905160202eb;2.0;3.0;3.0;;
;2025-05-09T15:45:59.745277;4b26b38d-9ffc-4032-a0d1-a905160202eb;3.0;3.0;3.0;;
;2025-05-09T15:47:14.781650;44d0be31-0504-413a-9c86-896c914bf9fe;1.0;3.0;3.0;;
;2025-05-09T15:47:27.078896;44d0be31-0504-413a-9c86-896c914bf9fe;2.0;3.0;3.0;;
;2025-05-09T15:47:39.245218;44d0be31-0504-413a-9c86-896c914bf9fe;3.0;3.0;3.0;;
