user_id,task_id,event_type,action,timestamp,original_prompt,modified_prompt,highlighted_terms,medical_term_count,prompt_count,message_id,model_type,model_name,group,edit_distance,diff_type,action_type,last_prompt
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:01:16.443610,hi,,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:02:05.340762,hi,,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:02:05.345145,hi,,,0,0,,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:02:07.881729,hi,,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:02:07.892443,hi,,,0,0,,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,EDIT_CLICK,2025-05-26T13:02:07.899911,hi,,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,EDIT_UPDATE,2025-05-26T13:02:10.032833,hi,hi,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,minor_change,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:02:10.170301,hi,,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:02:10.172933,hi,,,0,0,,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:02:11.124811,hi,,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:02:11.132489,hi,,,0,0,,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,ACCEPT_CLICK,2025-05-26T13:02:11.140240,hi,,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:08:06.614769,hi,,,0,1,task_1_prompt_1_7901d322,Ollama,llama3-med42-8b,B,0.0,,,
7901d322-d4b0-4b67-89e0-7a862c2c0f9f,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:08:06.622290,hi,,,0,0,,Ollama,llama3-med42-8b,B,0.0,,,
1dfd8d92-6a75-4175-a045-6915230186a1,1,,,2025-05-26T13:12:48.550534,,,,0,1,,,,A,,,HIGHLIGHT_METRICS,hi
12407b18-ebc2-4632-a691-c284a4107ab1,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:13:58.937849,hello,,,0,1,task_1_prompt_1_12407b18,Ollama,llama3-med42-8b,B,0.0,,,
12407b18-ebc2-4632-a691-c284a4107ab1,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:13:58.941659,hello,,,0,0,,Ollama,llama3-med42-8b,B,0.0,,,
12407b18-ebc2-4632-a691-c284a4107ab1,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:14:01.282385,hello,,,0,1,task_1_prompt_1_12407b18,Ollama,llama3-med42-8b,B,0.0,,,
12407b18-ebc2-4632-a691-c284a4107ab1,1,VALIDATION,VALIDATION_VIEW,2025-05-26T13:14:01.291224,hello,,,0,0,,Ollama,llama3-med42-8b,B,0.0,,,
