user_id;group;task_id;prompt_count;timestamp
37d2e7ca-0332-4565-880f-b695174c5fba;A;1;1;2025-05-30T22:01:58.678313
37d2e7ca-0332-4565-880f-b695174c5fba;A;2;1;2025-05-30T22:03:20.297818
37d2e7ca-0332-4565-880f-b695174c5fba;A;3;1;2025-05-30T22:03:45.607758
acb64018-04f0-4f2b-839a-08a1bcad2ba8;B;1;2;2025-05-30T22:15:23.258757
acb64018-04f0-4f2b-839a-08a1bcad2ba8;B;2;1;2025-05-30T22:15:39.651467
acb64018-04f0-4f2b-839a-08a1bcad2ba8;B;3;1;2025-05-30T22:15:53.893773
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;A;1;2;2025-05-30T22:35:47.666615
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;A;2;1;2025-05-30T22:36:01.178169
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;A;3;1;2025-05-30T22:36:15.827092
ed4b64c8-5bb9-4289-a430-92a8fcf1f146;B;1;1;2025-05-30T22:37:50.596011
ed4b64c8-5bb9-4289-a430-92a8fcf1f146;B;2;1;2025-05-30T22:38:07.742748
