timestamp;user_id;task_number;difficulty;mental_demand;frustration;accuracy;task_accomplishment;expectation_match;clinical_usefulness;medical_inaccuracies
2025-05-20T15:46:05.200420;846177f0-045d-425d-8973-3095af3f907a;1;;;;;;;3;
2025-05-20T15:46:35.378669;846177f0-045d-425d-8973-3095af3f907a;2;;;;;;;3;
2025-05-20T15:53:50.264053;846177f0-045d-425d-8973-3095af3f907a;3;;;;;;;3;
2025-05-20T22:14:07.190421;372313c0-4622-40e4-a58e-be4f741b3fc6;1;;;;;;;3;
2025-05-20T22:15:06.037005;372313c0-4622-40e4-a58e-be4f741b3fc6;2;;;;;;;3;
2025-05-20T22:15:19.033155;372313c0-4622-40e4-a58e-be4f741b3fc6;3;;;;;;;3;
2025-05-20T22:20:07.964164;b58aaefa-cc13-43c9-bee7-691ec68a5949;1;;;;;;;3;
2025-05-20T22:20:25.944747;b58aaefa-cc13-43c9-bee7-691ec68a5949;2;;;;;;;3;
2025-05-20T22:32:57.657464;d558eb9b-df76-4c27-a939-e3a24517772f;1;;;;;;;3;
2025-05-20T22:33:15.350769;d558eb9b-df76-4c27-a939-e3a24517772f;2;;;;;;;3;
2025-05-20T22:41:34.160717;62d6863e-db5d-4071-a162-118dfebf2a8a;1;;;;;;;3;
2025-05-20T22:41:57.544858;62d6863e-db5d-4071-a162-118dfebf2a8a;2;;;;;;;3;
2025-05-21T09:29:52.262980;c94351d5-2cbe-466a-9f32-fc886501b959;1;;;;;;;3;
