user_id;group_x;login_time;age;gender;training_level;specialization;patient_records_exp;clinical_notes_confidence;gen_ai_familiarity;prompt_eng_familiarity;cds_familiarity;llm_usage_frequency;trust_level;task_id;completion_status;task_start;timestamp;task_duration;duration;survey_data;model_type;model_name;group_y;event_type;prompt_count;group;prompt_count_metrics;first_prompt;last_prompt;levenshtein_distance;word_count;timestamp_metrics;timestamp_survey;group_survey;US_ease;US_clarity;US_reuse;TR_model_trust;TR_understanding;TR_current_trust;TR_explanations;FB_likes;FB_improvements;FB_clinical_yn;FB_clinical;FB_other;EX_edit_helpful;EX_edit_reason;EX_self_efficacy;EX_terms_useful;EX_refinement;EX_helpful;EX_reuse;EX_trust;EX_edit_understanding;EX_clarity;EX_edit_changed;EX_understanding
37d2e7ca-0332-4565-880f-b695174c5fba;A;2025-05-30T22:01:12.153065;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;1.0;completed;2025-05-30T22:01:47.806278;2025-05-30T22:01:58.238100;10.431782;;;;;;;;A;1.0;hi;hi;0.0;1.0;2025-05-30T22:01:58.261323;2025-05-30T22:03:49.495960;A;3.0;3.0;3.0;3.0;3.0;3.0;;;;Unsure;;;;;;;;;;;;;;
37d2e7ca-0332-4565-880f-b695174c5fba;A;2025-05-30T22:01:12.153065;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;1.0;;;2025-05-30T20:01:58.246524+00:00;;10.440209;{'timestamp': '2025-05-30T22:01:58.238100', 'user_id': '37d2e7ca-0332-4565-880f-b695174c5fba', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 10.440209, 'start_time': '2025-05-30T22:01:47.806278', 'end_time': '2025-05-30T22:01:58.246503', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0;A;1.0;hi;hi;0.0;1.0;2025-05-30T22:01:58.261323;2025-05-30T22:03:49.495960;A;3.0;3.0;3.0;3.0;3.0;3.0;;;;Unsure;;;;;;;;;;;;;;
37d2e7ca-0332-4565-880f-b695174c5fba;A;2025-05-30T22:01:12.153065;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;2.0;completed;2025-05-30T22:03:06.976781;2025-05-30T22:03:19.850000;12.873165;;;;;;;1.0;A;1.0;whats up;whats up;0.0;2.0;2025-05-30T22:03:19.872731;2025-05-30T22:03:49.495960;A;3.0;3.0;3.0;3.0;3.0;3.0;;;;Unsure;;;;;;;;;;;;;;
37d2e7ca-0332-4565-880f-b695174c5fba;A;2025-05-30T22:01:12.153065;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;2.0;;;2025-05-30T20:03:19.859113+00:00;;12.882299;{'timestamp': '2025-05-30T22:03:19.850000', 'user_id': '37d2e7ca-0332-4565-880f-b695174c5fba', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 12.882299, 'start_time': '2025-05-30T22:03:06.976781', 'end_time': '2025-05-30T22:03:19.859096', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0;A;1.0;whats up;whats up;0.0;2.0;2025-05-30T22:03:19.872731;2025-05-30T22:03:49.495960;A;3.0;3.0;3.0;3.0;3.0;3.0;;;;Unsure;;;;;;;;;;;;;;
37d2e7ca-0332-4565-880f-b695174c5fba;A;2025-05-30T22:01:12.153065;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;3.0;completed;2025-05-30T22:03:35.619159;2025-05-30T22:03:45.433789;9.814591;;;;;;;1.0;A;1.0;hello;hello;0.0;1.0;2025-05-30T22:03:45.455265;2025-05-30T22:03:49.495960;A;3.0;3.0;3.0;3.0;3.0;3.0;;;;Unsure;;;;;;;;;;;;;;
37d2e7ca-0332-4565-880f-b695174c5fba;A;2025-05-30T22:01:12.153065;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;3.0;;;2025-05-30T20:03:45.442018+00:00;;9.822828;{'timestamp': '2025-05-30T22:03:45.433789', 'user_id': '37d2e7ca-0332-4565-880f-b695174c5fba', 'task_number': 3, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 9.822828, 'start_time': '2025-05-30T22:03:35.619159', 'end_time': '2025-05-30T22:03:45.441998', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0;A;1.0;hello;hello;0.0;1.0;2025-05-30T22:03:45.455265;2025-05-30T22:03:49.495960;A;3.0;3.0;3.0;3.0;3.0;3.0;;;;Unsure;;;;;;;;;;;;;;
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;A;2025-05-30T22:35:15.313232;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;1.0;completed;2025-05-30T22:35:21.461770;2025-05-30T22:35:47.224573;25.762784;;;;;;;2.0;A;2.0;hi;hi;0.0;1.0;2025-05-30T22:35:47.240964;;;;;;;;;;;;;;;;;;;;;;;;;;
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;A;2025-05-30T22:35:15.313232;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;1.0;;;2025-05-30T20:35:47.228226+00:00;;25.766443;{'timestamp': '2025-05-30T22:35:47.224573', 'user_id': '40dbf9a5-cf0f-442d-ab57-e1d8f81a131b', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 25.766443, 'start_time': '2025-05-30T22:35:21.461770', 'end_time': '2025-05-30T22:35:47.228218', 'prompt_count': 2};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;2.0;A;2.0;hi;hi;0.0;1.0;2025-05-30T22:35:47.240964;;;;;;;;;;;;;;;;;;;;;;;;;;
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;A;2025-05-30T22:35:15.313232;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;2.0;completed;2025-05-30T22:35:48.909126;2025-05-30T22:36:00.727660;11.818517;;;;;;;1.0;A;1.0;hi;hi;0.0;1.0;2025-05-30T22:36:00.744936;;;;;;;;;;;;;;;;;;;;;;;;;;
40dbf9a5-cf0f-442d-ab57-e1d8f81a131b;A;2025-05-30T22:35:15.313232;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;3;3;3;3;1-3 times per month;3;2.0;;;2025-05-30T20:36:00.733051+00:00;;11.823911;{'timestamp': '2025-05-30T22:36:00.727660', 'user_id': '40dbf9a5-cf0f-442d-ab57-e1d8f81a131b', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 11.823911, 'start_time': '2025-05-30T22:35:48.909126', 'end_time': '2025-05-30T22:36:00.733043', 'prompt_count': 1};Together;meta-llama/Llama-3.3-70B-Instruct-Turbo-Free;A;TASK_COMPLETION;1.0;A;1.0;hi;hi;0.0;1.0;2025-05-30T22:36:00.744936;;;;;;;;;;;;;;;;;;;;;;;;;;
