user_id;group_x;login_time;age;gender;training_level;specialization;patient_records_exp;patient_records_years;clinical_reasoning_training;clinical_reasoning_desc;clinical_notes_confidence;gen_ai_familiarity;prompt_eng_familiarity;cds_familiarity;tools_used;other_tools;llm_usage_frequency;use_cases;other_use_cases;trust_level;expectations;task_id;completion_status;task_duration;timestamp;task_start;task_end;clinical_usefulness;medical_inaccuracies;prompt_count;start_time;end_time;MQ_inaccuracies;CL_performance;MQ_usefulness;PE_understanding;PE_difficulty;CL_mental;CL_frustration;MQ_accuracy;model_name;duration;group_y;model_type;event_type;survey_data
0173db9e-17dc-434c-8dfa-885604ad9c82;A;2025-05-27T17:06:55.355579;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;No;;2;3;3;3;;;1-3 times per month;;;3;;1.0;started;;2025-05-27T17:07:04.082609;2025-05-27T17:07:04.082609;;;;;;;;;;;;;;;;;;;;
032c8761-aad2-4b97-9680-0bf1f0f0265e;B;2025-05-26T20:34:47.626514;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;completed;13.732995;2025-05-26T20:35:08.129330;2025-05-26T20:34:54.396293;2025-05-26T20:35:08.129308;;;1.0;2025-05-26T20:34:54.396293;2025-05-26T20:35:08.129308;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;
032c8761-aad2-4b97-9680-0bf1f0f0265e;B;2025-05-26T20:34:47.626514;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;;;2025-05-26T20:35:08.141107;;;;;1.0;;;;;;;;;;;llama3-med42-8b;13.7448;B;Ollama;TASK_COMPLETION;{'timestamp': '2025-05-26T20:35:08.129330', 'user_id': '032c8761-aad2-4b97-9680-0bf1f0f0265e', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 13.7448, 'start_time': '2025-05-26T20:34:54.396293', 'end_time': '2025-05-26T20:35:08.141100', 'prompt_count': 1}
032c8761-aad2-4b97-9680-0bf1f0f0265e;B;2025-05-26T20:34:47.626514;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;2.0;completed;15.024983;2025-05-26T20:35:27.010928;2025-05-26T20:35:11.985855;2025-05-26T20:35:27.010859;;;1.0;2025-05-26T20:35:11.985855;2025-05-26T20:35:27.010859;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;
032c8761-aad2-4b97-9680-0bf1f0f0265e;B;2025-05-26T20:34:47.626514;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;2.0;;;2025-05-26T20:35:27.026836;;;;;1.0;;;;;;;;;;;llama3-med42-8b;15.040944;B;Ollama;TASK_COMPLETION;{'timestamp': '2025-05-26T20:35:27.010928', 'user_id': '032c8761-aad2-4b97-9680-0bf1f0f0265e', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 15.040944, 'start_time': '2025-05-26T20:35:11.985855', 'end_time': '2025-05-26T20:35:27.026814', 'prompt_count': 1}
032c8761-aad2-4b97-9680-0bf1f0f0265e;B;2025-05-26T20:34:47.626514;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;3.0;completed;92.43989;2025-05-26T20:37:28.485317;2025-05-26T20:35:56.045387;2025-05-26T20:37:28.485300;;;1.0;2025-05-26T20:35:56.045387;2025-05-26T20:37:28.485300;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;
032c8761-aad2-4b97-9680-0bf1f0f0265e;B;2025-05-26T20:34:47.626514;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;3.0;;;2025-05-26T20:37:28.499765;;;;;1.0;;;;;;;;;;;llama3-med42-8b;92.454355;B;Ollama;TASK_COMPLETION;{'timestamp': '2025-05-26T20:37:28.485317', 'user_id': '032c8761-aad2-4b97-9680-0bf1f0f0265e', 'task_number': 3, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 92.454355, 'start_time': '2025-05-26T20:35:56.045387', 'end_time': '2025-05-26T20:37:28.499752', 'prompt_count': 1}
07414e69-9478-4a54-b3a2-e39cf4716cf9;A;2025-05-26T20:52:02.573963;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;started;;2025-05-26T20:52:09.748405;2025-05-26T20:52:09.748405;;;;;;;;;;;;;;;;;;;;
0b10e536-2102-4376-a42d-c14cb2c0d667;A;2025-05-26T14:01:09.916967;Prefer not to say;Female;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;started;;2025-05-26T14:01:17.184825;2025-05-26T14:01:17.184825;;;;;;;;;;;;;;;;;;;;
0cc2e859-288d-47f0-967b-6c319c100072;B;2025-05-26T13:54:03.348235;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;started;;2025-05-26T13:54:09.951367;2025-05-26T13:54:09.951367;;;;;;;;;;;;;;;;;;;;
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:11:38.636729;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;completed;14.452393;2025-05-26T21:11:59.941552;2025-05-26T21:11:45.489122;2025-05-26T21:11:59.941531;;;1.0;2025-05-26T21:11:45.489122;2025-05-26T21:11:59.941531;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:11:38.636729;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;;;2025-05-26T21:11:59.960351;;;;;1.0;;;;;;;;;;;llama3-med42-8b;14.471201;B;Ollama;TASK_COMPLETION;{'timestamp': '2025-05-26T21:11:59.941552', 'user_id': '0d442ab4-e8f8-4643-a14a-8882425f9437', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 14.471201, 'start_time': '2025-05-26T21:11:45.489122', 'end_time': '2025-05-26T21:11:59.960337', 'prompt_count': 1}
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:11:38.636729;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;2.0;completed;12.560836;2025-05-26T21:12:16.072416;2025-05-26T21:12:03.511536;2025-05-26T21:12:16.072394;;;1.0;2025-05-26T21:12:03.511536;2025-05-26T21:12:16.072394;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:11:38.636729;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;2.0;;;2025-05-26T21:12:16.090196;;;;;1.0;;;;;;;;;;;llama3-med42-8b;12.578581;B;Ollama;TASK_COMPLETION;{'timestamp': '2025-05-26T21:12:16.072416', 'user_id': '0d442ab4-e8f8-4643-a14a-8882425f9437', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 12.578581, 'start_time': '2025-05-26T21:12:03.511536', 'end_time': '2025-05-26T21:12:16.090139', 'prompt_count': 1}
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:11:38.636729;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;3.0;started;;2025-05-26T21:12:58.539479;2025-05-26T21:12:58.539479;;;;;;;;;;;;;;;;;;;;
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:13:52.799783;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;completed;14.452393;2025-05-26T21:11:59.941552;2025-05-26T21:11:45.489122;2025-05-26T21:11:59.941531;;;1.0;2025-05-26T21:11:45.489122;2025-05-26T21:11:59.941531;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:13:52.799783;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;;;2025-05-26T21:11:59.960351;;;;;1.0;;;;;;;;;;;llama3-med42-8b;14.471201;B;Ollama;TASK_COMPLETION;{'timestamp': '2025-05-26T21:11:59.941552', 'user_id': '0d442ab4-e8f8-4643-a14a-8882425f9437', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 14.471201, 'start_time': '2025-05-26T21:11:45.489122', 'end_time': '2025-05-26T21:11:59.960337', 'prompt_count': 1}
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:13:52.799783;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;2.0;completed;12.560836;2025-05-26T21:12:16.072416;2025-05-26T21:12:03.511536;2025-05-26T21:12:16.072394;;;1.0;2025-05-26T21:12:03.511536;2025-05-26T21:12:16.072394;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:13:52.799783;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;2.0;;;2025-05-26T21:12:16.090196;;;;;1.0;;;;;;;;;;;llama3-med42-8b;12.578581;B;Ollama;TASK_COMPLETION;{'timestamp': '2025-05-26T21:12:16.072416', 'user_id': '0d442ab4-e8f8-4643-a14a-8882425f9437', 'task_number': 2, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 12.578581, 'start_time': '2025-05-26T21:12:03.511536', 'end_time': '2025-05-26T21:12:16.090139', 'prompt_count': 1}
0d442ab4-e8f8-4643-a14a-8882425f9437;B;2025-05-26T21:13:52.799783;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;3.0;started;;2025-05-26T21:12:58.539479;2025-05-26T21:12:58.539479;;;;;;;;;;;;;;;;;;;;
12407b18-ebc2-4632-a691-c284a4107ab1;B;2025-05-26T13:13:46.517735;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;started;;2025-05-26T13:13:55.079357;2025-05-26T13:13:55.079357;;;;;;;;;;;;;;;;;;;;
15a82e07-9e0e-44e8-ac84-d7bf92679e36;A;2025-05-26T13:52:42.066437;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;completed;14.651044;2025-05-26T13:53:03.681084;2025-05-26T13:52:49.029996;2025-05-26T13:53:03.681060;;;1.0;2025-05-26T13:52:49.029996;2025-05-26T13:53:03.681060;;;3.0;;;;;;;;;;;
15a82e07-9e0e-44e8-ac84-d7bf92679e36;A;2025-05-26T13:52:42.066437;Prefer not to say;Non-binary;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;;;2025-05-26T13:53:03.689046;;;;;1.0;;;;;;;;;;;llama3-med42-8b;14.65904;A;Ollama;TASK_COMPLETION;{'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 14.65904, 'start_time': '2025-05-26T13:52:49.029996', 'end_time': '2025-05-26T13:53:03.689040', 'prompt_count': 1, 'timestamp': '2025-05-26T13:53:03.681084'}
19db4d66-5d6b-4874-a17c-5230a1bdb8d0;A;2025-05-26T19:55:19.609970;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;completed;30.91824;2025-05-26T19:55:57.200173;2025-05-26T19:55:26.281903;2025-05-26T19:55:57.200164;;;1.0;2025-05-26T19:55:26.281903;2025-05-26T19:55:57.200164;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;
19db4d66-5d6b-4874-a17c-5230a1bdb8d0;A;2025-05-26T19:55:19.609970;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;0.0;Yes;;3;3;3;3;;;1-3 times per month;;;3;;1.0;;;2025-05-26T19:55:57.207903;;;;;1.0;;;;;;;;;;;llama3-med42-8b;30.925985;A;Ollama;TASK_COMPLETION;{'timestamp': '2025-05-26T19:55:57.200173', 'user_id': '19db4d66-5d6b-4874-a17c-5230a1bdb8d0', 'task_number': 1, 'difficulty': 3, 'mental_demand': 3, 'frustration': 3, 'accuracy': 3, 'task_accomplishment': 3, 'expectation_match': 3, 'clinical_usefulness': 3, 'medical_inaccuracies': '', 'task_duration': 30.925985, 'start_time': '2025-05-26T19:55:26.281903', 'end_time': '2025-05-26T19:55:57.207895', 'prompt_count': 1}
