user_id;group;login_time;age;gender;training_level;specialization;patient_records_exp;patient_records_years;clinical_reasoning_training;clinical_reasoning_desc;clinical_notes_confidence;gen_ai_familiarity;prompt_eng_familiarity;cds_familiarity;tools_used;other_tools;llm_usage_frequency;use_cases;other_use_cases;trust_level;expectations;task_id;completion_status;task_duration;timestamp;task_start;task_end;clinical_usefulness;medical_inaccuracies;prompt_count;start_time;end_time;MQ_inaccuracies;CL_performance;MQ_usefulness;PE_understanding;PE_difficulty;CL_mental;CL_frustration;MQ_accuracy
1ebf9ddb-f074-47c4-a6e4-aa18c11aaf33;B;2025-05-22T13:02:10.148488;Prefer not to say;Prefer not to say;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;;;;;;;;;;;;;;;;;;;;
264dd611-d146-4adf-bb10-9d1566b5b053;B;2025-05-25T12:15:46.613570;26;Female;Other;;No;;No;;1;5;5;1;;;Daily or more frequently;;;4;;;;;;;;;;;;;;;;;;;;
372313c0-4622-40e4-a58e-be4f741b3fc6;A;2025-05-20T22:13:25.202232;Prefer not to say;Female;Medical Student (Pre-clinical);;No;;Yes;;3;3;3;3;;;1-3 times per month;;;3;;;;;;;;;;;;;;;;;;;;
3a51f6b0-cd97-482d-8908-16b63fed96c7;A;2025-05-26T08:59:37.083920;18;Female;Other;;Yes;2.0;Yes;;1;5;2;3;;;Daily or more frequently;;;2;;1.0;completed;0.0;2025-05-26T09:01:37.607014;2025-05-26T08:59:37.616955;2025-05-26T09:01:37.616955;5.0;yes please;4.0;2025-05-26T08:59:37.616955;2025-05-26T09:01:37.616955;yes please;5.0;5.0;5.0;5.0;5.0;5.0;5.0
3e1951fb-3411-4d20-b999-fe9ecb0c2e7e;A;2025-05-26T10:37:35.422005;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;4;1;4;;;1-3 times per month;;;3;;1.0;completed;71.673937;2025-05-26T10:38:54.235112;2025-05-26T10:37:42.561160;2025-05-26T10:38:54.235106;;;2.0;2025-05-26T10:37:42.561160;2025-05-26T10:38:54.235106;hello;;1.0;;;;;
3e1951fb-3411-4d20-b999-fe9ecb0c2e7e;A;2025-05-26T10:37:35.422005;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;4;1;4;;;1-3 times per month;;;3;;1.0;completed;71.682732;2025-05-26T10:38:54.235112;2025-05-26T10:37:42.561160;2025-05-26T10:38:54.243903;1.0;hello;2.0;2025-05-26T10:37:42.561160;2025-05-26T10:38:54.243903;;;;;;;;
3e1951fb-3411-4d20-b999-fe9ecb0c2e7e;A;2025-05-26T10:37:35.422005;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;4;1;4;;;1-3 times per month;;;3;;2.0;completed;48.995657;2025-05-26T10:39:48.045447;2025-05-26T10:38:59.049776;2025-05-26T10:39:48.045442;;;2.0;2025-05-26T10:38:59.049776;2025-05-26T10:39:48.045442;second time;;1.0;;;;;
3e1951fb-3411-4d20-b999-fe9ecb0c2e7e;A;2025-05-26T10:37:35.422005;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;4;1;4;;;1-3 times per month;;;3;;2.0;completed;49.001856;2025-05-26T10:39:48.045447;2025-05-26T10:38:59.049776;2025-05-26T10:39:48.051638;1.0;second time;2.0;2025-05-26T10:38:59.049776;2025-05-26T10:39:48.051638;;;;;;;;
3e1951fb-3411-4d20-b999-fe9ecb0c2e7e;A;2025-05-26T10:37:35.422005;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;4;1;4;;;1-3 times per month;;;3;;3.0;completed;47.384065;2025-05-26T10:40:38.758289;2025-05-26T10:39:51.374209;2025-05-26T10:40:38.758283;;;2.0;2025-05-26T10:39:51.374209;2025-05-26T10:40:38.758283;helloooo;;4.0;;;;;
3e1951fb-3411-4d20-b999-fe9ecb0c2e7e;A;2025-05-26T10:37:35.422005;Prefer not to say;Non-binary;Specialist;;Yes;1.0;Yes;;3;4;1;4;;;1-3 times per month;;;3;;3.0;completed;47.390324;2025-05-26T10:40:38.758289;2025-05-26T10:39:51.374209;2025-05-26T10:40:38.764539;4.0;helloooo;2.0;2025-05-26T10:39:51.374209;2025-05-26T10:40:38.764539;;;;;;;;
